"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"President and Vice President","KAMALA D. HARRIS AND TIM WALZ","Democratic Party","2024-11-05T00:00:00.000","148264","27705","113789","289758","56.6269","2024-11-12T12:59:37.000","2024 General Election"
"President and Vice President","DONALD J. TRUMP AND JD VANCE","Republican Party","2024-11-05T00:00:00.000","111374","10454","92523","214351","41.8902","2024-11-12T12:59:37.000","2024 General Election"
"President and Vice President","VERMIN SUPREME AND JONATHAN REALZ","Conservative Party","2024-11-05T00:00:00.000","600","47","267","914","0.178621","2024-11-12T12:59:37.000","2024 General Election"
"President and Vice President","ROBERT F. KENNEDY JR. AND NICOLE SHANAHAN","Independent Party of Delaware","2024-11-05T00:00:00.000","3266","255","1115","4636","0.906005","2024-11-12T12:59:37.000","2024 General Election"
"President and Vice President","CHASE OLIVER AND MIKE TER MAAT","Libertarian Party","2024-11-05T00:00:00.000","1396","121","521","2038","0.398283","2024-11-12T12:59:37.000","2024 General Election"
"U.S. Senator","LISA BLUNT ROCHESTER","Democratic Party","2024-11-05T00:00:00.000","145831","26714","110753","283298","56.591","2024-11-12T12:59:37.000","2024 General Election"
"U.S. Senator","ERIC HANSEN","Republican Party","2024-11-05T00:00:00.000","100893","9926","86934","197753","39.5027","2024-11-12T12:59:37.000","2024 General Election"
"U.S. Senator","MICHAEL ""DR. MIKE"" KATZ","Independent Party of Delaware","2024-11-05T00:00:00.000","10986","1737","6832","19555","3.90627","2024-11-12T12:59:37.000","2024 General Election"
"U.S. Representative In Congress","SARAH MCBRIDE","Democratic Party","2024-11-05T00:00:00.000","147966","27242","112622","287830","57.8627","2024-11-12T12:59:37.000","2024 General Election"
"U.S. Representative In Congress","JOHN J. WHALEN III","Republican Party","2024-11-05T00:00:00.000","107770","10921","90915","209606","42.1373","2024-11-12T12:59:37.000","2024 General Election"
"Governor","MATT MEYER","Democratic Party","2024-11-05T00:00:00.000","143372","25889","110324","279585","56.0701","2024-11-12T12:59:37.000","2024 General Election"
"Governor","MIKE RAMONE","Republican Party","2024-11-05T00:00:00.000","113532","11363","94155","219050","43.9299","2024-11-12T12:59:37.000","2024 General Election"
"Lieutenant Governor","KYLE EVANS GAY","Democratic Party","2024-11-05T00:00:00.000","140428","25413","106987","272828","55.219","2024-11-12T12:59:37.000","2024 General Election"
"Lieutenant Governor","RUTH BRIGGS KING","Republican Party","2024-11-05T00:00:00.000","113831","11599","95826","221256","44.7811","2024-11-12T12:59:37.000","2024 General Election"
"Insurance Commissioner","TRINIDAD NAVARRO","Democratic Party","2024-11-05T00:00:00.000","150126","26411","112799","289336","58.6022","2024-11-12T12:59:37.000","2024 General Election"
"Insurance Commissioner","RALPH TAYLOR","Republican Party","2024-11-05T00:00:00.000","104304","10355","89734","204393","41.3978","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 2","DARIUS BROWN","Democratic Party","2024-11-05T00:00:00.000","8705","922","4646","14273","92.9655","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 2","JON ROE","Conservative Party","2024-11-05T00:00:00.000","747","81","252","1080","7.03446","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 3","S. ELIZABETH LOCKMAN","Democratic Party","2024-11-05T00:00:00.000","7808","796","3227","11831","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 4","LAURA V. STURGEON","Democratic Party","2024-11-05T00:00:00.000","12329","2017","4638","18984","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 6","RUSS HUXTABLE","Democratic Party","2024-11-05T00:00:00.000","3795","2938","13479","20212","54.3509","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 6","KIM HOEY STEVENSON","Republican Party","2024-11-05T00:00:00.000","4193","1447","11336","16976","45.6491","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 10","STEPHANIE L. HANSEN","Democratic Party","2024-11-05T00:00:00.000","10504","1514","7492","19510","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 11","BRYAN TOWNSEND","Democratic Party","2024-11-05T00:00:00.000","10397","1087","4414","15898","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 16","ERIC L. BUCKSON","Republican Party","2024-11-05T00:00:00.000","8492","866","6736","16094","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 17","TREY PARADEE","Democratic Party","2024-11-05T00:00:00.000","7179","1365","6086","14630","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 18","DAVE WILSON","Republican Party","2024-11-05T00:00:00.000","8818","962","8783","18563","100","2024-11-12T12:59:37.000","2024 General Election"
"State Senator District 21","BRYANT L. RICHARDSON","Republican Party","2024-11-05T00:00:00.000","7196","823","9086","17105","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 1","NNAMDI O. CHUKWUOCHA","Democratic Party","2024-11-05T00:00:00.000","5166","764","3322","9252","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 2","STEPHANIE T. BOLDEN","Democratic Party","2024-11-05T00:00:00.000","4172","382","2036","6590","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 3","JOSUE O. ORTEGA","Democratic Party","2024-11-05T00:00:00.000","4217","449","1641","6307","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 4","GREGG LINDNER","Democratic Party","2024-11-05T00:00:00.000","1739","1003","4888","7630","42.0085","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 4","JEFF HILOVSKY","Republican Party","2024-11-05T00:00:00.000","2595","669","7269","10533","57.9915","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 5","KENDRA JOHNSON","Democratic Party","2024-11-05T00:00:00.000","5138","525","2551","8214","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 6","DEBRA J. HEFFERNAN","Democratic Party","2024-11-05T00:00:00.000","5081","773","2912","8766","65.6531","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 6","MICHAEL KRAWCZUK","Republican Party","2024-11-05T00:00:00.000","2946","244","1396","4586","34.3469","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 7","LARRY D. LAMBERT JR.","Democratic Party","2024-11-05T00:00:00.000","4113","500","2595","7208","70.2877","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 7","SHANE STONEMAN","Republican Party","2024-11-05T00:00:00.000","1878","116","1053","3047","29.7123","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 8","SHERAE'A ""RAE"" MOORE","Democratic Party","2024-11-05T00:00:00.000","3857","657","3431","7945","57.8028","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 8","CHRIS BERONIO","Republican Party","2024-11-05T00:00:00.000","3020","302","2478","5800","42.1972","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 9","TERRELL A. WILLIAMS","Democratic Party","2024-11-05T00:00:00.000","3723","594","3527","7844","47.2359","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 9","KEVIN S. HENSLEY","Republican Party","2024-11-05T00:00:00.000","4737","505","3520","8762","52.7641","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 10","MELANIE ROSS LEVIN","Democratic Party","2024-11-05T00:00:00.000","4336","803","2814","7953","60.4285","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 10","BRENT BURDGE","Republican Party","2024-11-05T00:00:00.000","3283","305","1620","5208","39.5715","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 11","JEFFREY N. SPIEGELMAN","Republican Party","2024-11-05T00:00:00.000","6548","447","2901","9896","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 12","KRISTA GRIFFITH","Democratic Party","2024-11-05T00:00:00.000","6102","1216","2768","10086","61.3131","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 12","STEVE PICKERING","Republican Party","2024-11-05T00:00:00.000","4223","536","1605","6364","38.6869","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 13","DESHANNA NEAL","Democratic Party","2024-11-05T00:00:00.000","3979","379","1158","5516","56.2685","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 13","DANNY RAPPA","Republican Party","2024-11-05T00:00:00.000","3372","167","748","4287","43.7315","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 14","CLAIRE SNYDER-HALL","Democratic Party","2024-11-05T00:00:00.000","1712","1520","6398","9630","54.6383","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 14","MIKE SIMPLER","Republican Party","2024-11-05T00:00:00.000","1999","772","5224","7995","45.3617","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 15","KAMELA T. SMITH","Democratic Party","2024-11-05T00:00:00.000","5546","676","3064","9286","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 16","FRANKLIN D. COOKE JR.","Democratic Party","2024-11-05T00:00:00.000","4969","552","2571","8092","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 17","MELISSA ""MIMI"" MINOR-BROWN","Democratic Party","2024-11-05T00:00:00.000","4972","525","2459","7956","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 18","SOPHIE PHILLIPS","Democratic Party","2024-11-05T00:00:00.000","5086","545","2129","7760","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 19","KIM WILLIAMS","Democratic Party","2024-11-05T00:00:00.000","4911","629","1424","6964","62.8463","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 19","ALEX HOMICH","Republican Party","2024-11-05T00:00:00.000","3093","139","885","4117","37.1537","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 20","STELL PARKER SELBY","Democratic Party","2024-11-05T00:00:00.000","1712","1203","5942","8857","50.7012","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 20","NIKKI MILLER","Republican Party","2024-11-05T00:00:00.000","2152","701","5759","8612","49.2988","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 21","FRANK BURNS","Democratic Party","2024-11-05T00:00:00.000","4824","628","1963","7415","57.8754","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 21","BRENDA MENNELLA","Republican Party","2024-11-05T00:00:00.000","3897","252","1248","5397","42.1246","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 22","MONICA BEARD","Democratic Party","2024-11-05T00:00:00.000","4395","822","1886","7103","45.2305","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 22","MICHAEL FRANCIS SMITH","Republican Party","2024-11-05T00:00:00.000","6043","592","1966","8601","54.7695","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 23","MARA GORMAN","Democratic Party","2024-11-05T00:00:00.000","5032","738","2164","7934","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 24","ED OSIENSKI","Democratic Party","2024-11-05T00:00:00.000","4278","476","1625","6379","66.7888","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 24","JOAN GODWIN","Republican Party","2024-11-05T00:00:00.000","2371","137","664","3172","33.2112","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 25","CYNDIE ROMER","Democratic Party","2024-11-05T00:00:00.000","3913","509","1547","5969","64.9228","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 25","DAVID HANSBERGER","Republican Party","2024-11-05T00:00:00.000","2386","151","688","3225","35.0772","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 26","MADINAH WILSON-ANTON","Democratic Party","2024-11-05T00:00:00.000","4543","496","2084","7123","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 27","ERIC MORRISON","Democratic Party","2024-11-05T00:00:00.000","4713","593","2460","7766","56.2061","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 27","KRISTINA GRIFFING","Republican Party","2024-11-05T00:00:00.000","3894","262","1895","6051","43.7939","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 28","WILLIAM CARSON","Democratic Party","2024-11-05T00:00:00.000","4838","624","3158","8620","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 29","WILLIAM BUSH","Democratic Party","2024-11-05T00:00:00.000","3844","706","4196","8746","61.8267","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 29","ANTHONY EGIPCIACO JR.","Republican Party","2024-11-05T00:00:00.000","2804","218","2378","5400","38.1733","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 30","WM SHANNON MORRIS","Republican Party","2024-11-05T00:00:00.000","5707","372","4039","10118","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 31","SEAN M. LYNN","Democratic Party","2024-11-05T00:00:00.000","3161","731","3217","7109","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 32","KERRI EVELYN HARRIS","Democratic Party","2024-11-05T00:00:00.000","2669","418","1699","4786","61.9066","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 32","AMY SPAMPINATO","Republican Party","2024-11-05T00:00:00.000","1709","153","1083","2945","38.0934","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 33","CHARLES S. POSTLES JR.","Republican Party","2024-11-05T00:00:00.000","4360","390","4351","9101","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 34","TRACEY M. MILLER","Democratic Party","2024-11-05T00:00:00.000","3019","549","2214","5782","44.659","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 34","LYNDON D. YEARICK","Republican Party","2024-11-05T00:00:00.000","4049","356","2760","7165","55.341","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 35","JESSE R. VANDERWENDE","Republican Party","2024-11-05T00:00:00.000","4265","438","4312","9015","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 36","RONY J. BALTAZAR-LOPEZ","Democratic Party","2024-11-05T00:00:00.000","2004","403","2176","4583","37.1394","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 36","BRYAN WILLIAM SHUPE","Republican Party","2024-11-05T00:00:00.000","3271","379","4107","7757","62.8606","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 37","VALERIE JONES GILTNER","Republican Party","2024-11-05T00:00:00.000","2808","512","4930","8250","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 38","RONALD E. GRAY","Republican Party","2024-11-05T00:00:00.000","2789","1579","10973","15341","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 39","DANIEL B. SHORT","Republican Party","2024-11-05T00:00:00.000","3054","452","3934","7440","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 40","TIMOTHY D. DUKES","Republican Party","2024-11-05T00:00:00.000","3568","417","5101","9086","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 41","TOM BRETT","Democratic Party","2024-11-05T00:00:00.000","2157","473","2612","5242","35.5824","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 41","RICH COLLINS","Republican Party","2024-11-05T00:00:00.000","3808","424","5258","9490","64.4176","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Clerk of the Peace","LISA DARRAH","Democratic Party","2024-11-05T00:00:00.000","126371","16180","61313","203864","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Executive","MARCUS HENRY","Democratic Party","2024-11-05T00:00:00.000","126907","16179","61760","204846","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County President of County Council","MONIQUE JOHNS","Democratic Party","2024-11-05T00:00:00.000","98862","13781","52008","164651","62.5227","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County President of County Council","MELISSA S. BRAYMAN","Republican Party","2024-11-05T00:00:00.000","66015","5001","27679","98695","37.4773","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 7","GEORGE SMILEY","Democratic Party","2024-11-05T00:00:00.000","10210","1006","4713","15929","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 8","JOHN CARTIER","Democratic Party","2024-11-05T00:00:00.000","8922","1236","5460","15618","69.039","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 8","MICHAEL C. SENISCH","Republican Party","2024-11-05T00:00:00.000","4402","336","2266","7004","30.961","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 9","TIMOTHY P. SHELDON","Democratic Party","2024-11-05T00:00:00.000","11007","1223","3696","15926","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 10","JEA P. STREET","Democratic Party","2024-11-05T00:00:00.000","8202","882","3523","12607","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 11","DAVID L. TACKETT","Democratic Party","2024-11-05T00:00:00.000","11097","1251","5290","17638","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 12","KEVIN CANECO","Democratic Party","2024-11-05T00:00:00.000","10672","1421","7481","19574","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington Mayor","JOHN C. CARNEY JR.","Democratic Party","2024-11-05T00:00:00.000","14757","1827","7607","24191","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington Treasurer","DAWAYNE SIMS","Democratic Party","2024-11-05T00:00:00.000","14145","1791","7373","23309","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington President of City Council","TRIPPI CONGO","Democratic Party","2024-11-05T00:00:00.000","14329","1774","7430","23533","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 1","COBY OWENS","Democratic Party","2024-11-05T00:00:00.000","1852","270","1421","3543","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 2","SHANE NICOLE DARBY","Democratic Party","2024-11-05T00:00:00.000","1940","204","1104","3248","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 3","ZANTHIA OLIVER","Democratic Party","2024-11-05T00:00:00.000","1487","115","653","2255","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 4","MICHELLE HARLEE","Democratic Party","2024-11-05T00:00:00.000","1475","191","1026","2692","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 5","CHRISTIAN WILLAUER","Democratic Party","2024-11-05T00:00:00.000","1461","128","594","2183","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 6","YOLANDA M. MCCOY","Democratic Party","2024-11-05T00:00:00.000","1575","158","565","2298","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 7","CHRIS JOHNSON","Democratic Party","2024-11-05T00:00:00.000","1807","210","742","2759","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 8","NATHAN FIELD","Democratic Party","2024-11-05T00:00:00.000","2735","511","1323","4569","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council Member At-Large","LATISHA ""TISH"" BRACY","Democratic Party","2024-11-05T00:00:00.000","12458","1483","6768","20709","28.7202","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council Member At-Large","MARIA D. CABRERA","Democratic Party","2024-11-05T00:00:00.000","11974","1433","6443","19850","27.5289","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council Member At-Large","ALEXANDER HACKETT","Democratic Party","2024-11-05T00:00:00.000","12910","1312","6649","20871","28.9449","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council Member At-Large","SHAWN DOTTERY","Republican Party","2024-11-05T00:00:00.000","2568","237","1069","3874","5.37265","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council Member At-Large","JAMES SPADOLA","Republican Party","2024-11-05T00:00:00.000","4243","468","2091","6802","9.43333","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Clerk of the Peace","BRENDA WOOTTEN","Democratic Party","2024-11-05T00:00:00.000","22999","3952","19124","46075","54.0818","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Clerk of the Peace","MARC WIENNER","Republican Party","2024-11-05T00:00:00.000","21557","1495","16068","39120","45.9182","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Register of Wills","D.J. COX","Democratic Party","2024-11-05T00:00:00.000","21501","3690","17883","43074","50.4947","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Register of Wills","COLIN BONINI","Republican Party","2024-11-05T00:00:00.000","23165","1765","17300","42230","49.5053","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Levy Court District 1","JOANNE MASTEN","Democratic Party","2024-11-05T00:00:00.000","6709","838","4977","12524","100","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Levy Court District 3","ALLAN ANGEL","Democratic Party","2024-11-05T00:00:00.000","4543","851","3705","9099","100","2024-11-12T12:59:37.000","2024 General Election"
"Kent County Levy Court District 5","GEORGE JODY SWEENEY","Democratic Party","2024-11-05T00:00:00.000","5829","844","3741","10414","100","2024-11-12T12:59:37.000","2024 General Election"
"Sussex County Clerk of the Peace","NORMAN ""JAY"" JONES JR.","Republican Party","2024-11-05T00:00:00.000","33738","8200","62906","104844","100","2024-11-12T12:59:37.000","2024 General Election"
"Sussex County Council District 1","MATT LLOYD","Republican Party","2024-11-05T00:00:00.000","7032","835","9037","16904","100","2024-11-12T12:59:37.000","2024 General Election"
"Sussex County Council District 2","STEVE MCCARRON","Republican Party","2024-11-05T00:00:00.000","8062","943","8918","17923","100","2024-11-12T12:59:37.000","2024 General Election"
"Sussex County Council District 3","JANE GRUENEBAUM","Democratic Party","2024-11-05T00:00:00.000","3759","2916","13942","20617","54.7175","2024-11-12T12:59:37.000","2024 General Election"
"Sussex County Council District 3","MARK SCHAEFFER","Republican Party","2024-11-05T00:00:00.000","4295","1540","11227","17062","45.2825","2024-11-12T12:59:37.000","2024 General Election"
